doer_entropy,entropy,loss,msg_magnitude,pg_loss,reward_mean,success_rate,v_loss
1.2311182,4.8600755,-0.04036671,2.6290317,1.6530976e-08,0.092577994,0.1015625,0.016468057
1.2253399,4.8542967,-0.040433135,2.6447012,-1.8626451e-08,0.092300594,0.10128784,0.016219698
1.2196656,4.8486223,-0.040535264,2.655694,3.259629e-09,0.09328692,0.102264404,0.015901912
1.2150946,4.8440514,-0.040629502,2.6706266,-3.306195e-08,0.094581485,0.10354614,0.015622086
1.2114656,4.8404226,-0.040719863,2.6763663,5.5879354e-09,0.09498218,0.10394287,0.015368712
1.2073772,4.8363338,-0.04064003,2.683165,-7.21775e-09,0.09556781,0.104522705,0.015446628
1.2025037,4.831461,-0.04071045,2.692926,-2.3283064e-10,0.094273254,0.10324097,0.015208315
1.1996359,4.8285923,-0.040950503,2.7021008,3.1664968e-08,0.097293876,0.10623169,0.014670774
1.1958517,4.824808,-0.040898014,2.7130666,1.6763806e-08,0.096800715,0.10574341,0.014700099
1.1935925,4.822549,-0.040835805,2.711195,4.4237822e-08,0.09476642,0.10372925,0.01477928
1.1895752,4.818532,-0.041032348,2.725275,-3.306195e-08,0.097787045,0.10671997,0.014306011
1.1884652,4.817422,-0.040956266,2.7261922,2.2817403e-08,0.09640002,0.10534668,0.014435859
1.1860152,4.814972,-0.041025605,2.7333045,-1.1175871e-08,0.09812609,0.107055664,0.014248252
1.1851299,4.814086,-0.041165207,2.740369,-4.656613e-09,0.10077685,0.109680176,0.013951313
1.184181,4.813138,-0.041203756,2.7386694,1.9092113e-08,0.099050775,0.10797119,0.01385521
1.1814865,4.810444,-0.04114862,2.7419405,-1.8626451e-08,0.09806444,0.10699463,0.01391167
1.1804773,4.809434,-0.04114177,2.7487178,-1.1175871e-08,0.09929736,0.10821533,0.013905158
1.1818969,4.810854,-0.04115392,2.7438478,-2.7008355e-08,0.10056109,0.10946655,0.01390929
